rank,university,category,province,985,211,2017,2015,2013
111,西南政法大学,政法,重庆,0,0,5801,7019,8142
112,辽宁大学,综合,辽宁,1,1,5793,6836,8067
113,南方医科大学,医药,广东,0,0,5780,6994,8602
114,浙江传媒学院,语言,浙江,0,0,5761,7143,8358
115,广东财经大学,财经,广东,0,0,5760,7084,8218
116,中国石油大学(华东）,理工,山东,0,0,5714,6742,8023
117,广州大学,综合,广东,0,0,5711,6854,8567
118,天津商业大学,财经,天津,0,0,5683,6706,7913
119,华侨大学,综合,福建,0,0,5673,6751,8371
120,华中农业大学,农林,湖北,0,1,5651,6668,8201
121,中国石油大学(北京）,理工,北京,0,0,5622,6916,8022
122,牮北电力大学(北京）,理工,北京,0,0,5622,6691,8096
123,山东师范大学,师范,山东,0,0,5537,6589,7841
124,湘潭大学,综合,湖南,0,0,5253,6461,8076
125,宁波大学,综合,浙江,0,0,5249,6509,7811
126,海南大学,综合,海南,0,1,5203,6452,7936
127,四川师范大学,师范,四川,0,0,5197,6392,7798
128,杭州师范大学,师范,浙江,0,0,5133,5954,6847
129,长沙理工大学,理工,湖南,0,0,5102,6072,7468
130,福建师范大学,师范,福建,0,0,5099,5864,7154
131,中国药科大学,医药,江苏,0,1,5053,6063,7337
132,北京体育大学,体肓,北京,0,1,5034,5940,7306
133,四川美术学院,艺术,重庆,0,0,5018,6022,7286
134,东北财经大学,财经,辽宁,0,0,5008,5959,7330
135,浙江工业大字,理工,浙江,0,0,4970,5914,6978
136,西安外国语大学,语言,陕西,0,0,4926,5665,6514
137,长安大学,理工,陕西,0,1,4906,5985,7122
138,广东工业大学,理工,广东,0,0,4897,5680,6703
139,南京农业大学,农林,江苏,0,1,4866,5791,6660
140,西安理工大学,理工,陕西,0,0,4848,5721,6865
141,天津医科大学,医药,天津,0,1,4825,5838,6714
142,天津理工大学,理工,天津,0,0,4810,5772,7215
143,集美大学,综合,福建,0,0,4765,5623,6860
144,天津财经大学,财经,天津,0,0,4763,5525,6741
145,大连工业大学^,理工,辽宁,0,0,4758,5615,6626
146,天津科技大学,理工,天津,0,0,4720,5523,6738
147,山东理工大学,理工,山东,0,0,4709,5510,6556
148,南京中医药大学,医药,江苏,0,0,4679,5568,6792
149,河北医科大学,医药,河北,0,0,4642,5802,6788
150,广西师范大学,师范,广西,0,0,4630,5418,6284
151,南京医科大学,医药,江苏,0,0,4627,5784,7230
152,中国矿业大学(北京）,理工,北京,0,0,4620,5683,6535
153,天津美术学院,艺术,天津,0,0,4616,5400,6643
154,广州中医药大学,医药,广东,0,0,4582,5269,6218
155,贵州大学,综合,贵州,0,1,4580,5450,6376
156,山东科技大学,理工,山东,0,0,4579,5586,6536
157,江西师范大学,师范,江西,0,0,4543,5270,6218
158,山东财经大学,财经,山东,0,0,4530,5572,6854
159,安徽医科大学,医药,安徽,0,0,4520,5650,6893
160,中国人民公安大学,政法,北京,0,0,4511,5594,6489
161,重庆邮电大学,理工,重庆,0,0,4499,5579,6918
162,湖南农业大学,农林,湖南,0,0,4438,5415,6281
163,黑龙江大学,综合,黑龙江,0,0,4394,5317,6168
164,南京林业大学,农林,江苏,0,0,4216,4975,6218
165,内蒙古大学,综合,内蒙古,0,1,4190,4986,5734
166,温州大学,综合,浙江,0,0,4139,5050,6110
167,河南科技大学,理工,河南,0,0,4128,5119,5887
168,常州大学,理工,江苏,0,0,4112,4935,5922
169,烟台大学,综合,山东,0,0,4102,4882,5858
170,成都中医药大学,医药,四川,0,0,4073,5051,5808
171,浙江师范大学,师范,浙江,0,0,4021,4826,6032
172,太原理工大学,理工,山西,0,1,4007,4768,5769
173,湖北大学,综合,湖北,0,0,3998,4997,5747
174,河北师范大学,师范,河北,0,0,3992,4631,5742
175,燕山大学,理工,河北,0,0,3970,4605,5296
176,北京联合大学,综合,北京,0,0,3957,4947,6084
177,长江大学,综合,湖北,0,0,3951,4780,5736
178,河北工业大学,理工,河北,0,1,3899,4484,5291
179,四川农业大学,农林,四川,0,1,3894,4829,5988
180,安徽农业大学,农林,安徽,0,0,3842,4610,5762
181,成都理工大学,理工,四川,0,0,3765,4368,5110
182,山西财经大学,财经,山西,0,0,3758,4660,5499
183,湖南中医药大学,医药,湖南,0,0,3731,4552,5281
184,兰州交通大学,理工,甘肃,0,0,3705,4445,5512
185,西北师范大学,师范,甘肃,0,0,3705,4371,5246
186,天津中医药大学,医药,天津,0,0,3703,4555,5603
187,安徽师范大学,师范,安徽,0,0,3701,4441,5196
188,南乐工业大学,理工,江苏,0,0,3657,4352,5049
189,重庆工商大学,财经,重庆,0,0,3654,4202,5253
190,重庆范大学,师范,重庆,0,0,3622,4528,5298
191,兰州理工大学,理工,甘肃,0,0,3616,4303,5206
192,青岛科技大学,理工,山东,0,0,3584,4194,5032
193,天津师范大学,师范,天津,0,0,3574,4325,5406
194,华北电力大学(保定）,理工,河北,0,0,3542,4144,4931
195,山东中医药大学,医药,山东,0,0,3528,4163,4871
196,江苏科技大学,理工,江苏,0,0,3513,4146,4934
197,武汉工程大学,理工,湖北,0,0,3460,4117,4734
198,延边大学,综合,吉林,0,1,3437,4262,5072
199,南京信息工程大学,理工,江苏,0,0,3426,4180,4974
200,西安建筑科技大学,理工,陕西,0,0,3394,3971,4925
